"Type","Title","Href","Descr","Carrier_No","Component_No","Copied_To_Items","Copied_From_Items","Format","File_format","File_size","Item_Type","Entered_Date","Modified_Date","Who_Entered","Who_Modified","AFC","AFS","AFCI","LCCN","ITEM_BARCODE_NUMBER","SHA1_DIGEST","OTHER"
"VideoTapeCarrier","1980451-1-1 Katherine Johnson oral history, National Visionary Leadership Project ; 2006-06-20","/VideoTapeCarrier/key/1980451-1-1","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","1","1","","","V","","","VA","2013-09-30T11:48:40","2013-09-30T11:48:40","KSTE","KSTE","afc2004007","","afc2004007:060.mv.001","","410164036","",""
"VideoTapeCarrier","1980451-1-2 Katherine Johnson oral history, National Visionary Leadership Project ; 2006-06-20","/VideoTapeCarrier/key/1980451-1-2","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","2","1","","","V","","","VA","2013-09-30T11:48:40","2013-09-30T11:48:41","KSTE","KSTE","afc2004007","","afc2004007:060.mv.002","","410164048","",""
"VideoTapeCarrier","1980451-1-3 Katherine Johnson oral history, National Visionary Leadership Project ; 2006-06-20","/VideoTapeCarrier/key/1980451-1-3","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","3","1","","","V","","","VA","2013-09-30T11:48:40","2013-09-30T11:48:41","KSTE","KSTE","afc2004007","","afc2004007:060.mv.003","","0041016405a","",""
"VideoTapeCarrier","1980451-1-4 Katherine Johnson oral history, National Visionary Leadership Project ; 2006-06-20","/VideoTapeCarrier/key/1980451-1-4","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","4","1","","","V","","","VA","2013-09-30T11:48:40","2013-09-30T11:48:41","KSTE","KSTE","afc2004007","","afc2004007:060.mv.004","","410164061","",""
"VideoTapeCarrier","2034407-1-1 Local legacies collection, 1997-2000 MV0359","/VideoTapeCarrier/key/2034407-1-1","1/2"" VHS","1","1","copiedDate: 2014-11-05 copyItem:/DigitalCarrier/key/2034407-2-1 | copiedDate: 2014-11-05 copyItem:/DigitalCarrier/key/2034407-3-1","","V","","","VA","2014-09-16T07:27:05","2014-11-05T11:29:17","MSEG","WORKF","afc2000001","","afc2000001:mv0359","","416487017","",""
"DigitalCarrier","2034407-2-1 Local legacies collection, 1997-2000 MV0359","/DigitalCarrier/key/2034407-2-1","Video/mxf","1","2","","copiedDate: 2014-11-05 copyItem:/DigitalCarrier/key/2034407-2-1 item:/VideoTapeCarrier/key/2034407-1-1","G","","","GA","2014-11-05T11:28:51","2014-11-05T11:29:22","WORKF","WORKF","afc2000001","","","","","4E751BC2225F0394AC2FAE8121B5DF420FFE5D8A",""
"DigitalCarrier","2034407-3-1 Local legacies collection, 1997-2000 MV0359","/DigitalCarrier/key/2034407-3-1","Video/MPEG4","1","3","","copiedDate: 2014-11-05 copyItem:/DigitalCarrier/key/2034407-3-1 item:/VideoTapeCarrier/key/2034407-1-1","G","","","GA","2014-11-05T11:29:11","2014-11-05T11:29:23","WORKF","WORKF","afc2000001","","","","","326790C0443F87F36959725B87E40D7564710527",""
"AudioTapeCarrier","2101175-1-1 Koto music by composer and koto master Brian Yamakoshi SR01","/AudioTapeCarrier/key/2101175-1-1","1/4"" Tape","1","1","","","T","","","TA","2015-04-16T11:01:50","2015-04-16T11:02:24","MSEG","MSEG","afc2001027","","afc2001027:sr01","","290056573","",""
"VideoTapeCarrier","2101168-1-1 Koto music by composer and koto master Brian Yamakoshi MV01","/VideoTapeCarrier/key/2101168-1-1","1/2"" VHS","1","1","copiedDate: 2015-05-12 copyItem:/DigitalCarrier/key/2101168-2-1 | copiedDate: 2015-05-12 copyItem:/DigitalCarrier/key/2101168-3-1","","V","","","VA","2015-04-16T10:57:34","2015-05-12T19:23:18","MSEG","WORKF","afc2001027","","afc2001027:mv01","","290056561","",""
"DigitalCarrier","2101168-2-1 Koto music by composer and koto master Brian Yamakoshi MV01","/DigitalCarrier/key/2101168-2-1","Video/mxf","1","2","","copiedDate: 2015-05-12 copyItem:/DigitalCarrier/key/2101168-2-1 item:/VideoTapeCarrier/key/2101168-1-1","G","","","GA","2015-05-12T18:23:03","2015-05-12T19:23:22","WORKF","WORKF","afc2001027","","","","","037F963804358121C6F37B8C520CD328721312E1",""
